station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
0CO,9/1/2023 12:55,53.6,30.2,40.54,200,4,0,30.71,,10,14,BKN,BKN,BKN,,6500,7500,8500,,,,,,,,,53.6,K0CO 011855Z AUTO 20004G14KT 10SM BKN065 BKN075 BKN085 12/M01 A3071 RMK AO2,
0CO,9/1/2023 13:15,55.4,30.2,37.97,230,6,0,30.71,,10,15,SCT,BKN,BKN,,6500,8000,9000,,,,,,,,,55.4,K0CO 011915Z AUTO 23006G15KT 141V281 10SM SCT065 BKN080 BKN090 13/M01 A3071 RMK AO2,
0CO,9/1/2023 13:35,57.2,32,38.26,220,5,0,30.71,,10,16,SCT,SCT,SCT,,6500,8000,9000,,,,,,,,,57.2,K0CO 011935Z AUTO 22005G16KT 10SM SCT065 SCT080 SCT090 14/00 A3071 RMK AO2,
0CO,9/1/2023 13:55,59,30.2,33.35,170,6,0,30.71,,10,21,SCT,SCT,,,6500,7500,,,,,,,,,,59,K0CO 011955Z AUTO 17006G21KT 10SM SCT065 SCT075 15/M01 A3071 RMK AO2,
0CO,9/1/2023 14:15,57.2,28.4,33.05,150,12,0,30.71,,10,23,SCT,SCT,,,8000,10000,,,,,,,,,,57.2,K0CO 012015Z AUTO 15012G23KT 10SM SCT080 SCT100 14/M02 A3071 RMK AO2,
0CO,9/1/2023 14:35,55.4,30.2,37.97,180,11,0,30.71,,10,21,SCT,BKN,BKN,,6500,9000,12000,,,,,,,,,55.4,K0CO 012035Z AUTO 18011G21KT 131V241 10SM SCT065 BKN090 BKN120 13/M01 A3071 RMK AO2,
0CO,9/1/2023 14:55,55.4,28.4,35.28,150,14,0,30.7,,10,,SCT,SCT,BKN,,6500,8000,10000,,,,,,,,,55.4,K0CO 012055Z AUTO 15014KT 10SM SCT065 SCT080 BKN100 13/M02 A3070 RMK AO2,
0CO,9/1/2023 15:15,55.4,28.4,35.28,150,13,0,30.71,,10,19,SCT,OVC,,,7500,10000,,,,,,,,,,55.4,K0CO 012115Z AUTO 15013G19KT 10SM SCT075 OVC100 13/M02 A3071 RMK AO2,
0CO,9/1/2023 15:35,53.6,28.4,37.67,280,15,0,30.7,,10,23,SCT,BKN,OVC,,6000,7500,11000,,,,,,,,,53.6,K0CO 012135Z AUTO 28015G23KT 10SM SCT060 BKN075 OVC110 12/M02 A3070 RMK AO2,
0CO,9/1/2023 15:55,53.6,28.4,37.67,,,0,30.7,,10,,SCT,BKN,OVC,,5000,8000,11000,,,,,,,,,53.6,K0CO 012155Z AUTO 10SM SCT050 BKN080 OVC110 12/M02 A3070 RMK AO2,
0CO,9/1/2023 16:15,55.4,28.4,35.28,160,15,0,30.7,,10,22,BKN,BKN,OVC,,8000,9000,12000,,,,,,,,,55.4,K0CO 012215Z AUTO 16015G22KT 10SM BKN080 BKN090 OVC120 13/M02 A3070 RMK AO2,
0CO,9/1/2023 16:35,55.4,28.4,35.28,200,8,0,30.7,,10,,SCT,SCT,,,8000,9000,,,,,,,,,,55.4,K0CO 012235Z AUTO 20008KT 161V241 10SM SCT080 SCT090 13/M02 A3070 RMK AO2,
0CO,9/1/2023 16:55,57.2,26.6,30.69,170,15,0,30.69,,10,28,SCT,,,,10000,,,,,,,,,,,57.2,K0CO 012255Z AUTO 17015G28KT 10SM SCT100 14/M03 A3069 RMK AO2,
0CO,9/1/2023 17:15,55.4,26.6,32.76,150,26,0,30.68,,10,29,SCT,,,,12000,,,,,,,,,,,55.4,K0CO 012315Z AUTO 15026G29KT 10SM SCT120 13/M03 A3068 RMK AO2,
0CO,9/1/2023 17:35,55.4,24.8,30.4,170,15,0,30.68,,10,32,CLR,,,,,,,,,,,,,,,55.4,K0CO 012335Z AUTO 17015G32KT 10SM CLR 13/M04 A3068 RMK AO2,
0CO,9/1/2023 17:55,55.4,26.6,32.76,170,17,0,30.69,,10,36,CLR,,,,,,,,,,,,,,,55.4,K0CO 012355Z AUTO 17017G36KT 10SM CLR 13/M03 A3069 RMK AO2,
0CO,9/1/2023 18:15,53.6,26.6,34.98,170,12,0,30.69,,10,27,CLR,,,,,,,,,,,,,,,53.6,K0CO 020015Z AUTO 17012G27KT 10SM CLR 12/M03 A3069 RMK AO2,
0CO,9/1/2023 18:35,53.6,26.6,34.98,150,26,0,30.68,,10,32,SCT,,,,9000,,,,,,,,,,,53.6,K0CO 020035Z AUTO 15026G32KT 10SM SCT090 12/M03 A3068 RMK AO2,
0CO,9/1/2023 18:55,53.6,28.4,37.67,170,12,0,30.68,,10,29,BKN,,,,10000,,,,,,,,,,,53.6,K0CO 020055Z AUTO 17012G29KT 10SM BKN100 12/M02 A3068 RMK AO2,
0CO,9/1/2023 19:15,51.8,28.4,40.25,280,16,0,30.69,,10,20,SCT,OVC,,,7500,9000,,,,,,,,,,51.8,K0CO 020115Z AUTO 28016G20KT 10SM SCT075 OVC090 11/M02 A3069 RMK AO2,
0CO,9/1/2023 19:35,50,30.2,46.31,250,7,0,30.7,,10,16,SCT,OVC,,,7500,9000,,,,,,,,,,50,K0CO 020135Z AUTO 25007G16KT 10SM SCT075 OVC090 10/M01 A3070 RMK AO2,
